Period,MaxTemperature,MinTemperature,Humidity,Pressure,Precipitation,WindSpeed
Week 1 (1950-01-01 - 1950-01-07),15.9,1.7,53,1016.5,20.3,9.4
Week 2 (1950-01-08 - 1950-01-14),19.7,4.4,41.7,1017.4,0,9.4
Week 3 (1950-01-15 - 1950-01-21),15.7,4.6,65.3,1014.7,67.2,10
Week 4 (1950-01-22 - 1950-01-28),14.3,5.6,70.6,1015.9,63.5,11.2
Week 5 (1950-01-29 - 1950-02-04),14.5,3.3,67.1,1015.3,57.1,20.5
Week 6 (1950-02-05 - 1950-02-11),12.6,1.7,67.9,1011.7,71.6,10.8
Week 7 (1950-02-12 - 1950-02-18),14.7,0.5,59.4,1016.1,3.3,8.6
Week 8 (1950-02-19 - 1950-02-25),19.1,4.1,54.3,1016.7,2.9,10.9
Week 9 (1950-02-26 - 1950-03-04),21.3,5.2,53.1,1017.8,0.4,16.5
Week 10 (1950-03-05 - 1950-03-11),22.6,8.1,52.6,1012.8,8,11.6
Week 11 (1950-03-12 - 1950-03-18),20.4,8.9,65.7,1013.2,27.6,12.9
Week 12 (1950-03-19 - 1950-03-25),17.8,7.9,74.4,1010.3,114.5,12
Week 13 (1950-03-26 - 1950-04-01),20.6,7.2,62,1015.2,11,11.3
Week 14 (1950-04-02 - 1950-04-08),23,10.5,65.9,1011.7,64.7,16
Week 15 (1950-04-09 - 1950-04-15),26.4,11.4,54,1006.7,16,17.8
Week 16 (1950-04-16 - 1950-04-22),24.1,11.9,63.7,1009.6,29.9,15
Week 17 (1950-04-23 - 1950-04-29),27.5,13.3,50.3,1008.5,1.2,16.7
Week 18 (1950-04-30 - 1950-05-06),31.3,16.6,49.3,1006.1,1.6,20.1
Week 19 (1950-05-07 - 1950-05-13),31.9,18.5,47.3,1006.2,4.3,15.8
Week 20 (1950-05-14 - 1950-05-20),36.3,18.8,37,1000.6,1,12.7
Week 21 (1950-05-21 - 1950-05-27),37.6,20.7,27,1001.6,1.4,19.1
Week 22 (1950-05-28 - 1950-06-03),37.4,22.4,31.7,999.7,4.5,23.7
Week 23 (1950-06-04 - 1950-06-10),39.8,22.6,27.3,998,0.7,12.7
Week 24 (1950-06-11 - 1950-06-17),42.1,24.4,21,993.4,0.5,11.9
Week 25 (1950-06-18 - 1950-06-24),41.9,26.6,22.6,993.2,0.2,13.5
Week 26 (1950-06-25 - 1950-07-01),42.1,28,24.4,993.4,0.1,13.5
Week 27 (1950-07-02 - 1950-07-08),37.4,27.5,49.7,996.5,12.6,14.4
Week 28 (1950-07-09 - 1950-07-15),31.6,24,75.7,997.7,40.4,8.7
Week 29 (1950-07-16 - 1950-07-22),31,24.2,79.4,995.9,38.9,9.8
Week 30 (1950-07-23 - 1950-07-29),30,24.2,83.9,996.9,32.4,12.4
Week 31 (1950-07-30 - 1950-08-05),29.8,23.2,83.3,997.9,70.5,9.8
Week 32 (1950-08-06 - 1950-08-12),30.1,23.3,82.9,997.2,27.5,9
Week 33 (1950-08-13 - 1950-08-19),29.3,22.9,85.1,998,58,7.4
Week 34 (1950-08-20 - 1950-08-26),30.6,22.4,81.3,1002.1,23.9,8.5
Week 35 (1950-08-27 - 1950-09-02),30.2,22.9,82.1,1003.7,42.5,8.8
